"Table 6.16B. Corporate Profits by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 06, 2015"
"Line"," ","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987"
"11","        Federal Reserve banks",0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.5,0.6,0.6,0.7,0.9,0.8,0.9,1.0,1.1,1.3,1.7,2.0,2.5,3.1,3.5,3.3,3.3,4.5,5.7,5.6,5.9,6.1,7.6,9.4,11.8,14.4,15.2,14.6,16.4,16.3,15.5,16.2
"12","        Other",2.5,3.1,3.1,3.4,4.1,4.5,4.8,5.0,5.2,5.4,5.9,6.9,7.5,7.6,7.7,7.3,7.6,8.0,9.1,9.2,10.4,10.6,12.0,14.6,16.1,16.6,15.1,14.8,19.7,26.5,33.1,32.3,23.5,15.9,12.0,21.6,18.3,30.2,40.8,44.1
"13","    Nonfinancial",30.3,27.5,34.2,38.7,36.0,35.5,33.4,42.0,41.4,40.6,35.8,45.4,42.1,42.5,46.9,52.1,57.7,67.9,73.0,70.1,75.7,70.6,57.1,69.0,80.3,90.6,85.1,109.2,140.0,161.1,183.1,184.6,169.9,192.0,165.0,185.2,223.0,205.1,177.4,206.2
"14","        Manufacturing",18.1,16.5,21.4,25.2,22.6,23.2,21.1,27.2,26.5,25.8,21.2,28.4,25.8,25.2,28.2,31.6,34.6,42.1,45.3,42.4,45.8,41.6,32.0,40.0,47.6,55.0,51.0,63.0,82.5,91.5,105.8,107.1,97.6,112.5,89.6,97.3,114.2,107.1,75.6,101.8
"15","            Durable goods",7.8,8.3,12.3,13.5,12.3,12.7,11.2,15.0,14.0,14.4,10.4,14.8,12.9,12.5,15.2,17.6,19.3,24.7,25.9,23.4,25.2,22.2,13.5,19.9,26.6,30.6,21.8,25.8,38.8,46.1,55.9,49.0,32.0,33.8,19.4,33.4,54.1,45.6,39.7,51.4
"16","                Primary metal industries",1.6,1.5,2.3,3.1,2.0,2.5,1.7,2.9,3.1,3.1,1.9,2.4,2.1,1.6,1.6,2.0,2.5,3.2,3.6,2.8,2.0,1.5,0.9,1.0,1.9,2.7,5.6,3.2,2.9,1.8,4.5,4.6,3.7,4.2,-4.0,-4.4,-0.1,-0.5,0.9,2.2
"17","                Fabricated metal products",0.9,0.7,1.1,1.4,1.0,1.0,1.0,1.1,1.1,1.2,1.0,1.1,0.9,1.1,1.2,1.4,1.5,2.1,2.5,2.5,2.4,2.1,1.2,1.6,2.4,2.9,2.1,3.5,4.3,4.9,5.5,5.8,5.0,5.2,3.4,3.8,5.4,5.6,5.5,5.4
"18","                Machinery,except electrical",1.3,1.3,1.7,2.4,2.4,2.0,1.8,1.8,2.2,2.1,1.5,2.2,1.9,1.9,2.4,2.6,3.4,4.1,4.7,4.4,4.4,3.9,3.4,3.4,5.0,5.6,4.2,5.9,8.0,9.8,12.1,11.1,9.7,11.1,5.3,5.6,7.6,7.3,2.0,6.1
"19","                Electric and electronic equipment",0.7,0.8,1.3,1.4,1.6,1.6,1.3,1.3,1.6,2.0,1.8,2.2,1.9,1.9,2.1,2.2,2.3,3.4,3.8,3.8,3.9,3.5,2.5,3.3,4.4,5.0,2.7,4.5,6.0,8.1,9.5,8.9,9.3,9.9,6.1,8.1,10.1,7.3,7.1,10.5
"20","                Motor vehicles and equipment",1.5,2.1,3.2,2.5,2.6,2.9,2.3,4.3,2.5,2.8,1.1,3.2,3.2,2.7,4.2,5.2,4.9,6.5,5.5,4.3,5.9,5.3,1.8,5.9,6.9,7.4,2.2,3.3,9.1,11.4,11.7,7.3,-1.4,2.4,2.1,7.4,11.5,10.2,7.1,5.5
"21","                Other",1.9,1.7,2.6,2.8,2.7,2.7,2.9,3.5,3.4,3.3,3.2,3.7,2.9,3.2,3.7,4.2,4.6,5.5,5.7,5.7,6.6,5.8,3.7,4.7,6.1,7.0,5.0,5.4,8.5,10.1,12.6,11.2,5.7,1.0,6.5,12.9,19.7,15.8,17.0,21.5
"22","            Nondurable goods",10.2,8.3,9.1,11.6,10.3,10.5,9.9,12.2,12.5,11.4,10.8,13.5,12.9,12.7,13.0,14.0,15.3,17.4,19.5,18.9,20.6,19.4,18.5,20.1,21.0,24.3,29.2,37.2,43.7,45.3,49.9,58.1,65.6,78.7,70.2,63.8,60.1,61.5,35.9,50.4
"23","                Food and kindred products",1.9,1.6,1.6,1.5,1.8,1.8,1.7,2.2,1.8,1.9,2.1,2.5,2.3,2.4,2.4,2.7,2.8,2.9,3.4,3.3,3.3,3.1,3.4,3.7,3.2,2.8,3.0,8.8,7.4,7.2,6.7,6.4,6.7,9.7,8.1,6.9,7.5,9.5,7.9,10.9
"24","                Chemicals and allied products",1.8,1.8,2.4,2.9,2.4,2.4,2.4,3.2,3.2,3.1,2.9,3.9,3.5,3.7,3.6,4.1,4.5,5.1,5.4,4.8,5.8,5.2,4.6,5.2,6.0,7.1,6.5,7.7,9.9,9.4,10.2,9.5,8.2,10.9,8.5,10.7,11.7,9.9,10.0,17.6
"25","                Petroleum and coal products",2.8,1.9,2.3,2.8,2.4,2.8,2.8,3.1,3.3,2.7,2.3,2.7,2.7,2.4,2.3,2.3,2.5,3.0,3.5,4.0,3.9,3.6,3.9,4.0,3.5,5.6,11.4,10.4,14.1,13.8,16.7,26.0,36.0,41.7,36.8,25.6,19.4,20.2,-4.2,-1.4
"26","                Other",3.8,2.9,2.8,4.5,3.7,3.4,3.0,3.7,4.2,3.7,3.5,4.5,4.4,4.3,4.6,4.9,5.5,6.4,7.2,6.8,7.6,7.5,6.7,7.2,8.3,8.8,8.3,10.3,12.3,14.9,16.3,16.3,14.7,16.4,16.8,20.6,21.6,22.0,22.2,23.3
"27","        Transportation and public utilities",3.0,3.1,4.1,4.8,5.1,5.2,5.0,6.0,6.3,6.2,6.2,7.4,7.8,8.2,8.7,9.7,10.4,11.4,12.6,11.4,11.4,11.1,8.8,9.6,10.4,10.2,9.1,11.7,17.5,21.2,25.5,21.6,22.2,25.1,28.1,34.3,44.7,39.1,39.3,42.0
"28","            Transportation",1.5,1.2,1.9,1.9,1.9,1.6,1.0,1.5,1.4,1.1,0.9,1.1,0.9,1.0,1.0,1.4,1.6,2.1,2.3,1.3,0.9,0.6,-0.3,0.6,1.5,1.3,2.0,0.5,2.8,3.3,4.2,3.9,2.7,1.5,-0.5,2.9,5.3,2.2,2.6,1.2
"29","            Communication",0.4,0.5,0.8,1.1,1.2,1.5,1.6,2.0,2.2,2.4,2.6,3.1,3.3,3.5,3.8,4.2,4.2,4.7,5.4,5.2,5.6,5.9,5.3,4.8,4.8,5.3,5.4,5.3,7.8,9.2,11.6,11.0,10.8,12.9,13.2,14.5,17.7,18.7,22.0,22.0
"30","            Electric, gas, and sanitary services",1.1,1.4,1.5,1.8,2.0,2.2,2.4,2.5,2.7,2.7,2.7,3.1,3.6,3.8,3.9,4.2,4.6,4.6,4.9,4.8,4.9,4.7,3.7,4.2,4.2,3.7,1.8,5.9,6.9,8.7,9.7,6.6,8.7,10.7,15.4,16.9,21.7,18.2,14.7,18.9
"31","        Wholesale trade",2.4,1.9,2.1,2.6,2.3,1.8,1.7,2.4,2.2,2.2,2.2,2.8,2.5,2.5,2.8,2.8,3.4,3.8,4.0,4.1,4.7,4.9,4.6,5.4,7.2,8.8,12.2,14.3,13.7,16.4,16.7,20.0,18.5,23.7,20.7,21.9,30.4,24.6,24.4,18.9
"32","        Retail trade",3.3,2.8,3.0,2.6,2.7,2.3,2.3,2.9,2.6,2.6,2.6,3.3,2.8,3.0,3.4,3.6,4.5,4.9,4.9,5.7,6.4,6.4,6.1,7.3,7.5,7.0,2.8,8.4,10.9,12.8,13.1,10.7,7.0,10.7,14.3,19.3,21.5,22.8,23.4,23.3
"33","        Other",3.6,3.2,3.6,3.5,3.2,3.0,3.3,3.6,3.9,3.8,3.5,3.5,3.3,3.6,3.7,4.3,4.8,5.7,6.3,6.6,7.4,6.5,5.8,6.7,7.6,9.6,10.0,11.8,15.3,19.2,22.0,25.2,24.6,20.1,12.3,12.3,12.1,11.4,14.7,20.3
"34","Rest of the world",1.3,1.1,1.3,1.7,1.9,1.8,2.0,2.4,2.8,3.1,2.5,2.7,3.1,3.3,3.8,4.1,4.5,4.7,4.5,4.8,5.6,6.6,7.1,7.9,9.5,14.9,17.5,14.6,16.5,19.1,22.9,34.6,35.5,29.7,32.6,35.1,36.6,38.1,39.5,48.0
"Legend / Footnotes:"
"Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC)."
