"Table 1.14. Gross Value Added of Domestic Corporate Business in Current Dollars and Gross Value Added of Nonfinancial Domestic Corporate Business in Current and Chained Dollars"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: December 22, 2015 - Next Release Date January 29, 2016"
"Line"," ","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"20","    Compensation of employees",32.1,28.8,23.5,17.4,16.6,19.6,21.5,24.6,28.8,25.5,28.0,31.0,39.6,50.8,62.0,64.8,61.7,66.9,78.8,87.5,84.9,94.4,109.8,117.8,128.2,125.9,137.9,150.8,158.4,155.2,170.8,180.4,184.5,199.3,210.1,225.7,245.4,272.9,291.1,320.9,356.1,374.5,396.2,439.9,495.1,542.9,569.0,640.0,723.3,829.5,942.4,1030.7,1139.9,1183.3,1250.1,1388.2,1490.1,1578.2,1685.5,1825.3,1934.8,2037.5,2071.1,2188.7,2271.0,2398.7,2524.6,2667.7,2862.6,3093.8,3310.0,3597.3,3584.6,3542.0,3595.7,3762.8,3930.3,4129.3,4305.3,4358.0,4088.4,4158.7,4363.4,4593.3,4747.4,4995.8
"21","        Wages and salaries",31.8,28.4,23.2,17.1,16.3,19.3,21.2,24.1,27.6,24.2,26.6,29.5,37.8,48.6,59.3,61.8,58.6,63.6,74.8,83.4,80.7,88.9,103.1,110.5,120.4,117.7,128.5,140.1,146.5,143.3,156.9,165.1,168.6,181.2,190.6,204.5,222.2,245.2,261.6,288.1,318.8,334.9,353.5,389.9,437.3,478.5,495.1,554.6,621.6,709.0,802.5,874.7,964.3,995.0,1044.7,1160.1,1243.0,1307.3,1397.0,1514.9,1600.1,1682.9,1701.7,1783.9,1845.5,1952.8,2076.9,2206.9,2384.2,2582.6,2771.1,3008.4,2993.8,2939.0,2962.2,3099.9,3238.0,3420.9,3572.1,3619.5,3377.5,3446.1,3622.9,3826.4,3953.5,4178.9
"22","        Supplements to wages and salaries",0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.6,1.2,1.3,1.4,1.5,1.9,2.2,2.7,3.1,3.0,3.2,4.0,4.0,4.2,5.4,6.8,7.2,7.8,8.2,9.4,10.7,11.9,11.9,13.9,15.4,15.9,18.1,19.5,21.1,23.2,27.6,29.4,32.7,37.2,39.5,42.7,50.0,57.8,64.4,74.0,85.4,101.8,120.5,139.9,156.0,175.6,188.3,205.4,228.1,247.1,270.9,288.4,310.4,334.7,354.6,369.4,404.8,425.6,445.9,447.7,460.8,478.3,511.2,538.9,588.9,590.8,603.0,633.4,662.9,692.3,708.5,733.3,738.5,710.9,712.6,740.4,766.9,793.9,816.9
"23","    Taxes on production and imports less subsidies",3.0,3.0,2.8,2.9,3.4,4.0,4.1,4.3,4.5,4.5,4.7,5.0,5.9,6.3,6.6,7.3,8.1,9.5,11.2,12.4,13.0,14.4,15.4,16.8,17.9,17.3,19.2,20.8,22.0,22.3,24.4,26.6,27.6,29.9,31.7,33.9,36.0,37.0,39.3,45.5,50.2,54.2,59.5,63.7,70.1,74.4,80.2,86.7,94.6,102.7,108.8,121.5,146.7,152.9,168.0,185.0,196.6,204.6,216.8,233.8,248.2,263.5,285.7,302.5,319.3,350.7,358.7,371.7,388.9,402.9,424.6,449.9,445.0,472.9,495.8,530.9,573.2,610.1,632.5,632.7,605.9,633.0,670.6,690.4,724.9,745.2
"24","    Net operating surplus",10.7,8.6,4.6,1.3,1.1,3.9,5.3,7.2,7.9,5.6,7.1,10.2,15.8,20.8,24.7,24.6,20.1,16.6,22.8,29.1,26.4,33.3,37.8,35.7,36.2,35.2,45.4,44.3,43.7,39.2,49.8,47.9,49.7,57.8,64.7,71.7,83.5,90.9,89.3,96.4,94.9,84.8,97.6,112.2,125.5,121.3,141.4,169.8,197.0,221.7,226.8,223.1,272.8,264.2,302.8,373.4,383.9,364.7,405.5,457.7,457.8,457.2,450.5,448.2,487.0,582.3,634.4,699.4,758.6,738.7,751.9,723.9,656.3,719.3,815.0,964.1,1118.7,1269.3,1225.8,1172.2,1073.5,1352.5,1419.1,1542.0,1612.3,1614.3
"25","        Net interest and miscellaneous payments",1.4,1.6,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.3,1.2,1.2,1.1,1.0,0.9,0.7,0.8,0.9,1.0,0.9,1.1,1.2,1.3,1.6,1.7,1.8,2.3,2.8,3.0,3.3,3.8,4.5,4.8,5.3,6.0,7.2,8.6,10.1,13.5,17.8,18.8,20.0,23.7,30.2,32.4,30.1,33.2,36.8,43.8,57.8,72.2,82.8,82.3,93.5,97.5,107.6,116.5,136.2,160.1,170.2,157.2,132.0,117.9,116.9,126.3,119.7,127.0,146.8,159.9,198.4,219.1,198.6,169.8,159.9,173.6,183.9,249.0,307.5,283.7,286.2,289.7,298.5,280.4,258.1
"26","        Business current transfer payments (net)",0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.5,0.6,0.6,0.6,0.6,0.7,0.8,1.0,0.9,1.0,1.0,1.1,1.2,1.3,1.3,1.4,1.6,1.6,1.9,2.1,2.6,2.7,2.9,3.0,3.2,3.6,3.9,4.5,3.7,4.7,6.7,8.7,9.2,9.0,9.6,10.7,8.1,10.0,10.9,15.4,26.9,29.7,27.0,23.5,24.9,26.1,30.7,29.5,34.7,30.2,37.3,38.5,34.1,45.6,45.5,55.3,52.3,61.8,62.0,74.2,70.4,62.2,50.3,71.8,83.3,90.4,93.9,95.1,85.1
"27","        Corporate profits with IVA and CCAdj",9.0,6.7,2.4,-0.8,-1.0,1.9,3.3,5.3,6.0,3.8,5.4,8.5,14.2,19.2,23.2,23.0,18.5,15.5,21.4,27.6,24.8,31.7,36.0,33.7,33.9,32.7,42.7,41.4,40.3,35.2,45.5,43.3,44.5,51.8,58.3,64.6,75.4,81.1,78.1,83.4,78.3,63.9,75.2,88.3,97.2,87.4,104.3,133.0,155.1,175.8,174.0,155.7,189.9,173.3,210.5,268.9,271.1,230.2,259.4,294.5,274.1,262.1,267.2,285.6,339.6,430.8,477.9,542.3,593.1,557.8,546.4,480.1,382.0,468.4,583.4,742.2,870.9,1015.0,914.6,814.3,718.1,983.0,1039.0,1149.7,1236.8,1271.1
"28","            Taxes on corporate income",1.1,0.7,0.5,0.3,0.5,0.7,0.9,1.3,1.4,0.9,1.3,2.7,7.4,11.1,13.7,12.6,10.2,8.6,10.8,11.7,9.3,16.8,21.1,17.7,18.4,15.5,20.1,19.9,19.0,16.1,20.7,19.1,19.4,20.6,22.8,23.9,27.1,29.5,27.8,33.5,33.3,27.3,30.0,33.8,40.4,42.8,41.9,53.5,60.6,67.6,70.6,68.2,66.0,48.8,61.7,75.9,71.1,76.2,94.2,104.0,101.2,98.5,88.6,94.4,108.0,132.4,140.3,152.9,161.4,158.7,171.4,170.2,111.2,97.1,132.9,187.0,271.9,307.7,293.8,227.4,177.8,220.6,228.8,266.7,284.6,316.2
"29","            Profits after tax with IVA and CCAdj",7.9,6.0,2.0,-1.1,-1.4,1.3,2.5,4.0,4.6,2.9,4.0,5.9,6.8,8.1,9.5,10.4,8.3,6.9,10.7,15.9,15.6,15.0,14.9,16.0,15.6,17.1,22.6,21.5,21.4,19.2,24.8,24.2,25.1,31.2,35.5,40.7,48.3,51.6,50.2,49.8,45.0,36.6,45.2,54.5,56.8,44.6,62.4,79.6,94.6,108.2,103.4,87.5,123.9,124.5,148.8,193.0,200.0,154.0,165.1,190.5,172.9,163.7,178.6,191.1,231.6,298.4,337.6,389.4,431.7,399.2,375.0,309.9,270.7,371.3,450.5,555.2,599.1,707.3,620.8,586.9,540.2,762.4,810.2,883.0,952.2,954.9
"30","                Net dividends",5.1,5.0,3.8,2.4,2.0,2.7,3.2,4.3,4.4,2.7,3.4,3.7,4.1,3.8,3.9,4.1,4.1,4.9,5.4,5.9,6.0,7.4,7.0,7.1,7.2,7.4,8.4,9.0,9.2,9.1,9.8,10.5,10.6,11.6,12.4,14.0,16.2,16.8,17.3,19.0,19.0,18.3,18.1,19.7,20.8,21.5,24.6,27.8,30.9,35.9,37.6,44.7,52.5,54.1,63.2,67.2,72.0,72.9,76.3,82.2,105.4,118.3,125.5,134.3,149.2,158.0,178.0,197.6,215.9,241.0,224.7,251.3,245.4,254.8,293.4,364.5,170.8,471.1,484.6,474.2,351.4,375.5,441.0,517.9,525.2,573.8
"31","                Undistributed profits with IVA and CCAdj",2.8,1.0,-1.8,-3.5,-3.4,-1.4,-0.7,-0.3,0.2,0.1,0.6,2.2,2.7,4.3,5.5,6.3,4.2,2.1,5.3,10.1,9.5,7.6,7.9,8.9,8.3,9.8,14.2,12.5,12.1,10.0,15.0,13.7,14.5,19.6,23.1,26.7,32.1,34.8,33.0,30.8,25.9,18.3,27.0,34.8,36.1,23.0,37.8,51.8,63.6,72.3,65.8,42.8,71.4,70.5,85.6,125.8,128.0,81.1,88.9,108.4,67.6,45.4,53.1,56.9,82.4,140.4,159.6,191.8,215.8,158.1,150.4,58.6,25.3,116.5,157.2,190.7,428.3,236.2,136.2,112.7,188.9,387.0,369.2,365.0,427.0,381.1
" ","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","    Corporate business:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","        Profits before tax (without IVA and CCAdj)",10.7,4.4,0.6,-1.3,1.8,3.2,4.2,7.0,7.4,4.3,7.5,10.4,18.4,22.1,25.5,24.4,20.1,24.9,31.7,35.2,28.9,42.5,43.6,39.4,41.4,38.8,49.1,49.8,48.1,42.5,53.2,50.7,50.6,55.4,60.3,67.0,78.4,85.9,82.8,92.3,90.1,79.2,91.4,106.4,131.2,144.1,140.1,179.7,209.4,247.5,266.5,247.3,246.9,199.7,228.8,261.7,251.6,226.7,282.8,331.4,322.3,328.0,352.8,389.5,429.0,523.7,592.3,636.8,689.3,625.3,644.1,600.9,520.2,630.2,802.8,1049.6,1414.2,1595.3,1395.0,975.7,1115.4,1445.5,1384.9,1720.5,1746.8,1789.6
"33","        Profits after tax (without IVA and CCAdj)",9.3,3.6,0.1,-1.7,1.3,2.4,3.3,5.6,5.9,3.3,6.0,7.5,10.8,10.7,11.4,11.4,9.4,15.8,20.4,22.8,18.7,24.6,21.1,20.0,21.1,21.2,27.0,27.8,26.7,23.5,29.5,27.9,27.7,31.3,34.0,38.8,47.3,52.0,49.9,52.6,50.1,44.4,53.3,64.0,81.3,91.3,88.5,114.4,134.9,162.7,176.5,160.1,162.6,133.2,148.2,164.1,152.1,117.0,152.3,189.7,176.2,182.5,214.3,240.8,258.0,330.6,374.5,405.3,443.9,377.0,385.4,335.8,316.9,437.8,559.0,743.5,1001.9,1121.9,949.5,666.6,845.9,1074.9,1005.8,1272.9,1277.9,1275.7
"34","        Undistributed profits after tax (without IVA and CCAdj)",3.7,-1.8,-4.0,-4.3,-0.7,-0.1,0.6,1.2,1.3,0.4,2.4,3.8,6.6,6.7,7.2,7.1,5.0,10.6,14.8,16.6,12.3,16.7,13.7,12.5,13.3,13.3,18.1,18.3,16.8,13.7,18.8,16.5,16.2,19.0,20.4,23.8,30.5,34.1,31.6,32.5,29.7,24.0,32.9,42.1,58.2,67.8,62.1,84.3,101.2,123.1,135.0,112.8,104.3,71.9,76.9,85.6,66.4,28.7,56.7,91.7,49.8,38.5,58.1,79.3,73.2,132.8,148.3,142.2,151.7,62.1,79.0,-19.6,-13.0,85.6,157.2,241.7,682.2,473.8,271.0,38.5,389.4,632.4,457.0,592.8,500.2,551.3
